['D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['C', 'D', 'C', 'A', 'A', 'A', 'E', 'C', 'A', 'C', 'A', 'E', 'A', 'D', None, 'A', 'D', 'A', 'A', 'B']
['C', 'D', 'C', 'E', 'E', 'E', 'E', 'D', 'E', 'B', 'B', 'B', 'E', 'D', 'E', 'A', None, 'C', 'C', 'C']
['C', 'C', 'C', 'D', None, 'C', 'C', 'E', 'D', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['A', 'A', 'D', 'A', 'B', 'A', 'A', 'A', 'C', 'A', 'A', 'A', 'C', 'A', 'C', 'A', 'A', 'A', 'A', 'A']
['D', None, 'D', 'D', 'C', 'D', 'D', 'D', 'C', 'A', 'D', 'D', 'D', 'D', 'D', 'B', 'A', 'D', 'D', 'A']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'B', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['E', 'C', 'C', 'C', None, 'A', 'A', 'C', 'C', 'C', 'C', 'A', 'D', 'D', 'B', 'C', 'D', 'C', 'B', 'D']
['D', 'A', 'A', 'A', 'B', 'B', 'A', 'E', 'E', 'D', 'B', 'A', 'A', 'A', 'D', 'B', 'C', 'B', 'D', 'C']
['A', 'D', 'A', 'C', 'D', 'C', 'D', 'C', None, 'A', 'D', 'C', 'D', 'D', 'A', 'C', None, 'D', 'D', 'A']
['D', 'B', 'E', 'B', 'A', 'B', 'D', 'C', 'A', 'A', 'E', 'A', 'B', 'E', None, 'D', 'C', 'B', 'D', 'B']
['C', 'C', 'C', 'A', 'E', 'D', None, 'E', 'A', 'C', 'C', 'C', None, 'E', None, 'A', 'E', 'E', 'C', 'D']
[None, 'C', 'C', 'E', 'D', 'D', 'B', 'B', 'B', 'A', 'A', 'B', 'A', 'B', 'D', 'B', 'B', 'C', 'B', 'A']
['A', 'E', 'D', 'A', 'B', 'B', 'C', 'B', 'E', 'B', 'A', 'B', 'A', 'A', 'B', 'B', None, 'E', 'D', 'A']
['A', 'B', 'A', 'B', 'A', 'A', 'C', 'C', None, 'C', 'D', 'A', 'B', 'E', 'A', 'C', 'C', 'E', 'B', 'E']
['C', 'C', 'C', 'C', 'A', 'C', 'C', None, 'D', 'B', 'A', 'B', 'C', 'A', None, 'A', 'C', None, 'E', 'A']
['A', 'C', 'C', 'B', 'B', 'C', 'B', 'D', 'C', 'A', None, 'E', 'B', None, 'B', 'D', 'C', 'A', 'D', None]
['E', 'B', 'E', 'E', 'C', 'A', 'B', None, 'C', 'B', 'E', 'A', 'C', 'E', 'D', 'C', 'D', 'B', 'C', 'B']
['B', 'B', 'A', 'D', 'A', 'A', 'B', 'D', 'A', 'C', 'B', 'A', 'A', 'C', 'D', None, 'D', 'C', 'E', 'A']
['E', 'B', 'A', 'B', 'B', 'D', 'A', 'A', 'E', 'B', 'E', 'D', 'C', 'E', 'B', None, 'A', 'A', 'E', 'C']
['D', 'D', 'D', 'D', 'D', 'D', 'C', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['B', 'B', None, 'B', 'B', 'B', 'B', 'B', None, 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
[None, 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
[None, 'E', 'E', 'E', 'A', 'E', 'E', 'E', 'D', 'E', 'A', None, 'E', 'C', 'E', 'E', 'E', 'E', 'E', None]
['A', None, 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', None, 'A', 'A', 'A', 'A', 'A', 'A']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C']
['C', 'C', 'E', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['A', 'A', 'E', 'A', 'A', None, 'B', 'E', 'A', 'A', None, 'A', 'A', 'E', 'C', 'E', 'A', None, 'C', 'B']
['B', 'A', 'C', 'B', 'A', 'D', 'B', 'B', 'A', 'A', 'E', 'B', 'E', 'B', 'D', 'D', 'D', 'B', 'C', 'D']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'B', 'D', 'D', 'D']
['B', 'D', 'C', 'B', 'C', 'E', None, 'D', 'B', 'B', 'E', 'C', 'B', 'B', 'D', 'D', 'D', 'B', 'C', 'E']
['B', 'C', 'B', 'D', 'B', 'C', 'D', 'B', 'B', 'A', 'B', 'D', 'C', 'C', None, None, 'B', 'B', 'B', 'D']
['D', 'B', 'B', None, None, 'C', 'C', 'E', None, 'B', 'B', 'E', 'A', 'D', 'D', 'B', 'D', 'C', None, 'B']
[None, None, 'C', None, 'B', 'C', 'B', None, 'B', None, 'A', 'B', 'B', 'A', None, 'B', 'B', 'D', 'B', 'D']
['B', None, 'E', 'B', 'B', 'B', 'C', 'C', 'A', 'A', 'D', 'B', 'C', 'D', 'C', 'D', None, 'B', 'A', 'A']
['A', 'E', 'C', 'A', 'D', None, 'A', 'C', 'B', 'C', 'C', 'E', 'B', 'E', 'B', 'A', 'B', None, 'D', 'C']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', None, 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['C', 'C', 'D', 'B', 'B', 'B', 'C', 'A', 'A', 'A', 'A', 'C', 'D', 'C', 'D', 'A', 'D', 'A', 'B', 'D']
['B', 'D', 'D', 'D', 'A', 'D', 'D', 'A', 'D', 'A', 'D', 'D', 'B', 'B', 'D', 'D', 'D', None, 'B', 'D']
['E', None, 'B', 'A', 'A', 'A', 'C', 'A', 'A', 'A', 'C', 'A', 'B', 'A', 'A', 'E', 'E', 'A', 'A', None]
['B', 'B', 'C', 'C', 'B', 'A', 'D', 'C', 'A', 'A', 'A', 'B', 'A', 'B', 'B', 'C', 'C', 'D', 'D', 'A']
['D', 'C', 'B', 'E', 'D', 'B', 'B', 'B', 'B', 'B', 'C', 'B', 'C', 'C', 'C', 'A', 'B', 'C', 'C', 'B']
['E', 'C', 'C', 'A', 'E', None, 'C', 'B', 'C', 'E', 'E', 'C', 'A', 'B', 'D', 'E', 'B', 'A', 'E', 'E']
['E', 'D', 'E', None, 'A', 'D', 'A', 'B', None, 'B', 'B', 'D', 'E', 'A', 'D', 'B', 'D', 'E', 'D', 'D']
['B', 'A', 'A', 'C', 'A', 'D', 'A', None, None, 'A', 'B', 'D', None, 'A', None, 'B', 'D', 'B', 'D', 'B']
['C', 'D', 'B', 'C', 'B', 'B', 'C', 'D', 'C', 'A', 'C', 'E', 'E', 'E', 'A', 'B', 'B', 'B', 'B', 'B']
['A', 'B', 'A', 'E', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'E', 'A', 'E', 'B', 'A', 'A', 'A', 'A', 'B']
['C', None, 'A', 'B', 'A', 'A', 'D', 'A', 'C', 'B', 'B', 'B', 'A', 'C', 'E', 'A', 'A', 'D', 'A', 'A']
['B', 'B', 'B', 'A', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['B', 'B', 'B', 'A', 'B', 'E', 'A', 'A', 'B', 'A', 'A', 'B', 'C', 'A', 'B', 'B', 'A', 'E', 'A', 'E']
['B', None, 'B', 'B', 'C', 'A', 'B', 'B', 'C', 'D', 'A', 'B', 'B', 'B', 'B', 'C', 'D', 'B', 'D', 'B']
['A', 'B', 'A', 'D', 'A', 'C', 'B', 'A', 'B', 'C', 'D', 'B', 'C', 'E', 'B', 'C', 'A', 'A', 'B', 'A']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', None, 'B', 'B', 'B', 'B', 'B']
['C', 'C', 'C', 'C', 'C', 'C', 'B', 'C', 'A', 'C', 'C', 'C', 'C', 'A', 'E', 'C', 'A', None, 'C', 'C']
['C', 'B', 'B', 'B', None, 'B', 'A', 'B', 'B', 'B', 'A', 'A', 'B', 'B', 'A', None, 'B', 'D', None, 'D']
['E', 'A', 'B', 'C', 'E', 'C', 'B', 'B', 'C', 'B', 'B', 'C', 'B', 'C', 'A', 'B', 'C', 'B', 'C', 'B']
['A', 'E', 'C', 'C', 'B', 'A', 'A', 'C', 'D', 'B', 'B', 'B', 'C', 'C', 'D', 'C', 'E', 'D', 'D', 'D']
['D', 'D', 'E', 'B', 'B', 'A', 'C', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', None, 'B', 'C', 'E', 'C']
['A', 'A', 'A', 'A', 'B', 'A', 'B', 'B', 'C', None, 'A', None, 'B', 'C', 'A', 'D', 'A', 'B', 'C', 'C']
['C', 'C', 'B', 'C', 'D', 'B', 'C', 'C', 'E', 'B', 'E', 'A', 'C', None, 'C', 'B', 'C', 'C', 'D', None]
[None, 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'B', None, 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['B', 'B', 'B', 'B', 'A', 'C', 'A', 'A', 'A', None, 'C', 'B', 'B', 'B', 'A', 'A', 'B', 'A', 'A', 'D']
['C', 'C', 'C', 'C', 'C', 'E', 'E', 'C', 'C', 'C', None, 'A', 'C', 'C', 'A', 'D', 'D', None, 'A', 'A']
['B', 'C', 'E', 'A', 'E', 'C', 'A', 'A', 'E', 'C', 'A', 'E', 'C', 'B', 'B', 'C', 'A', 'A', 'E', 'B']
['D', 'D', 'D', 'C', 'D', 'D', 'E', 'E', 'D', 'A', 'B', 'D', 'A', 'D', 'B', 'C', 'A', 'E', 'D', 'C']
['B', 'B', 'E', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'A']
['D', 'C', 'B', 'A', 'C', 'C', 'A', 'B', 'D', 'B', 'A', 'B', 'B', 'D', 'E', 'B', 'C', 'D', 'D', 'E']
['C', 'A', 'D', None, 'C', 'C', 'C', 'E', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'B', 'C', 'C', 'C', 'C']
['A', 'A', 'C', 'C', 'A', 'D', 'A', 'C', 'D', 'D', 'C', 'C', 'C', 'A', 'A', 'C', 'D', 'D', 'C', 'A']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['D', 'D', 'B', 'D', 'C', 'A', 'C', 'D', 'B', 'C', 'A', 'A', 'E', 'D', 'A', 'C', 'A', 'D', 'C', 'A']
['D', 'C', 'A', 'C', 'C', 'C', 'A', 'D', 'B', 'A', 'D', 'A', 'C', 'A', 'A', 'D', 'A', 'A', None, 'A']
['D', 'D', None, 'D', None, 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'E', 'D', 'D', 'D']
['B', 'C', 'B', 'B', 'A', 'B', 'C', 'A', 'D', 'C', 'B', 'D', 'D', 'C', 'C', 'C', 'C', 'D', 'C', 'A']
['B', 'E', 'D', 'C', 'D', None, 'A', 'B', 'A', 'A', 'C', 'B', 'D', 'E', 'C', None, None, 'B', 'C', 'B']
['B', 'B', None, 'D', 'C', 'C', 'B', 'C', 'C', 'B', 'C', 'E', 'B', 'C', 'B', 'E', 'A', 'A', 'E', 'A']
['B', 'C', 'E', 'C', 'B', 'A', 'E', 'C', 'B', 'B', 'A', 'B', 'C', 'D', 'C', 'B', 'B', 'C', 'C', 'B']
['B', 'C', 'A', 'A', 'A', 'B', 'D', 'C', 'D', 'B', 'E', 'B', 'D', None, 'C', 'A', 'A', 'D', 'D', None]
['A', 'A', 'B', 'B', None, 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'B', 'C', 'B', 'A', None, 'D', 'B']
['B', 'C', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'E']
['A', 'B', 'A', 'B', None, 'A', 'A', 'A', 'A', 'B', 'A', 'B', 'B', 'C', 'A', 'C', 'D', 'B', 'A', 'C']
['D', 'B', 'B', 'B', 'C', 'B', 'A', 'C', 'A', None, None, 'E', 'B', 'C', 'B', None, 'A', 'B', 'B', 'D']
['B', 'A', 'A', 'B', 'B', 'D', 'A', 'D', 'D', 'B', 'A', 'D', 'B', 'A', 'B', 'B', 'B', 'E', 'B', 'D']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'A', 'B', 'B', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'D']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', None, 'A', 'A', None, 'C', 'A', 'A', 'A', 'A', 'B']
['E', 'B', 'A', 'C', 'B', 'A', 'E', 'A', 'E', 'A', 'B', 'D', 'A', 'A', 'E', 'D', 'A', 'B', 'E', 'A']
['A', 'C', 'A', 'A', 'B', 'C', 'D', 'A', 'B', 'A', 'A', 'B', 'A', 'A', 'B', 'C', 'A', 'C', 'A', 'C']
['A', 'D', 'A', 'A', 'E', 'B', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'B', 'A', 'C', 'A', None, 'C', 'B']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', None, None, 'E', 'E', None, 'E', 'E', 'E', None, 'E']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', None, 'B', 'E', None, 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['C', 'A', 'B', 'E', 'B', 'C', 'C', 'C', 'C', 'C', 'E', 'A', 'C', 'C', 'C', 'C', 'B', 'C', 'C', 'E']
['C', 'C', 'C', 'C', 'A', 'D', 'D', 'C', 'D', 'A', 'C', 'C', 'A', 'A', 'A', 'C', 'A', 'A', 'A', 'A']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['E', 'B', 'D', 'D', 'D', 'B', 'D', 'E', 'B', 'D', 'D', 'D', 'D', 'D', 'E', 'B', 'B', 'B', 'C', 'E']
['D', 'E', 'A', 'B', 'B', 'A', 'A', 'E', None, 'E', 'B', 'A', 'B', 'C', 'D', 'A', 'D', 'B', 'D', 'C']
['E', 'A', 'A', 'B', 'B', 'A', 'E', 'E', 'E', 'B', 'C', 'A', 'E', 'A', 'A', 'C', 'A', 'A', 'A', 'A']
['B', 'D', 'D', 'D', 'C', 'D', 'D', 'C', 'A', 'B', 'C', 'C', 'D', 'A', 'A', 'D', 'A', 'A', 'D', 'C']
['D', 'D', 'A', 'A', 'B', 'C', 'D', 'A', 'A', 'E', 'A', 'A', 'B', 'A', 'E', 'D', 'A', 'B', 'D', 'E']
['C', 'E', 'B', 'C', 'D', 'A', 'C', 'A', 'C', 'C', 'B', 'C', 'C', 'C', 'B', 'C', 'B', 'C', 'B', 'C']
['D', 'C', 'D', 'C', 'B', 'D', 'D', 'B', 'B', 'C', None, 'C', 'C', 'C', 'B', 'C', 'D', 'E', 'D', 'A']
['A', 'A', 'D', 'D', 'C', 'D', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'B', 'B', 'A', 'D', 'A', 'B', 'B']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'B', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', None]
['D', 'D', 'D', 'A', 'E', 'D', 'D', 'B', 'E', 'D', 'B', 'D', 'C', 'E', 'E', None, 'E', 'A', 'E', 'D']
['D', 'D', 'A', 'D', 'C', 'A', 'A', 'A', 'C', 'D', 'C', 'E', 'A', 'D', 'C', 'C', 'C', 'D', 'A', 'C']
['B', 'B', 'B', 'C', 'A', 'B', None, None, 'A', 'B', 'E', 'B', 'D', 'B', 'D', 'B', None, 'B', 'B', 'B']
['C', 'B', 'A', 'B', 'E', 'E', 'C', 'A', 'A', None, 'E', 'E', None, 'C', 'E', 'D', None, 'E', 'C', 'C']
['D', 'E', 'B', 'D', 'E', 'E', 'E', 'E', 'B', 'D', 'B', 'E', 'E', 'A', 'D', 'C', 'B', 'A', 'D', 'E']
['D', 'B', 'B', 'B', 'D', 'A', 'B', 'D', 'B', 'C', 'D', 'B', 'D', 'A', 'E', 'B', 'D', 'D', 'E', 'E']
['D', 'A', 'E', 'E', 'A', 'E', 'A', 'B', 'E', 'E', 'D', 'E', 'E', 'B', 'E', 'A', 'B', 'B', 'E', 'E']
['B', 'E', None, 'B', 'E', 'B', 'E', 'A', 'D', 'B', 'E', 'D', 'E', 'C', 'B', 'C', 'D', 'D', 'E', 'B']
['A', 'A', 'A', 'B', 'C', 'D', 'E', 'C', 'C', 'B', 'C', 'B', 'B', 'E', 'B', 'D', 'B', 'D', 'B', 'D']
['A', 'A', None, 'B', 'B', 'C', 'C', 'B', 'B', 'B', 'A', None, 'C', 'C', 'C', 'B', 'A', 'C', 'C', 'A']
['D', 'B', 'D', 'B', 'A', 'B', 'D', 'B', 'B', 'B', 'D', 'D', 'C', 'B', 'D', 'B', None, 'D', 'B', 'B']
['D', 'D', 'C', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'D', 'D', 'D', 'D']
['B', 'D', 'A', None, 'B', 'B', 'A', 'C', 'A', 'B', None, 'C', 'B', 'A', 'C', 'C', 'B', None, 'C', 'A']
['B', 'B', 'C', None, 'C', 'D', 'C', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', None, 'B', 'B', None]
[None, 'A', 'D', 'C', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'C', 'D', 'B', 'D', 'D', 'B', 'C', 'D', 'D']
['E', 'B', 'B', 'D', 'B', 'B', 'C', 'D', 'D', 'D', 'E', 'A', 'D', 'E', 'D', 'B', 'B', 'D', 'B', 'D']
['D', None, 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', None, 'D', 'D']
['C', 'C', 'C', 'B', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'B', 'D', 'C', 'C', 'D', 'C', 'C']
['E', 'B', 'E', None, 'B', 'C', 'D', 'D', 'E', 'D', 'C', 'E', 'B', 'A', 'A', 'C', 'D', 'E', 'E', 'D']
['A', 'C', 'A', 'A', 'B', 'D', 'B', 'B', 'D', 'D', 'D', 'D', None, 'B', 'D', 'D', 'E', 'D', 'D', 'D']
['B', 'B', 'D', 'B', 'B', 'B', 'C', 'C', 'C', 'A', 'B', 'C', 'D', 'D', 'D', 'A', 'B', 'C', 'D', 'B']
['B', 'B', 'B', 'B', 'C', 'A', 'C', 'B', 'C', 'A', 'B', 'A', 'B', 'B', 'A', 'B', 'A', 'B', 'A', 'B']
['B', 'B', 'B', 'B', 'B', 'C', 'B', 'B', 'B', 'B', 'B', 'B', 'B', None, 'B', 'B', 'B', 'B', 'C', 'E']
['B', 'C', 'B', 'C', 'B', 'B', 'B', 'B', 'C', 'C', 'B', 'B', 'B', 'B', 'B', None, 'C', 'B', 'B', 'B']
['C', None, 'A', None, 'C', 'A', 'A', 'D', 'D', 'C', 'B', 'B', 'A', 'C', 'C', 'B', 'C', 'A', 'B', 'C']
['A', 'E', 'A', 'D', 'B', 'D', 'C', 'D', 'E', 'D', 'A', 'A', 'A', 'B', 'B', 'E', 'C', 'B', 'D', 'B']
['B', 'D', 'A', 'E', 'C', 'E', 'E', 'E', 'C', 'B', 'C', 'C', 'C', None, 'C', 'B', 'A', 'C', 'C', 'C']
['A', 'D', 'E', 'A', 'C', 'C', 'A', 'C', 'C', 'C', 'A', 'A', 'B', 'D', 'B', 'B', 'C', 'B', 'B', 'B']
['C', 'C', None, 'C', 'D', 'C', 'D', 'C', None, 'D', 'C', 'C', 'C', None, 'C', 'D', 'C', None, 'C', 'D']
['C', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'C', 'C', None, 'A', 'A', 'A', 'B', 'C', 'C', 'A', 'A']
['D', 'D', 'D', 'D', 'A', 'D', 'C', 'B', 'D', 'D', 'D', 'A', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'C']
['C', 'C', 'C', 'A', 'A', 'C', 'C', 'A', 'C', 'A', 'A', 'C', 'B', 'C', 'C', 'A', 'C', 'A', 'A', 'C']
['B', 'B', 'B', 'B', 'B', None, 'B', 'B', 'B', 'B', 'B', None, None, 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['D', 'D', 'D', 'D', 'B', 'D', 'B', 'C', 'D', 'C', 'D', 'D', 'C', 'C', 'B', 'A', 'A', 'D', 'A', 'C']
['D', 'D', 'A', 'D', 'A', 'E', 'B', 'E', None, 'D', 'E', 'B', 'C', 'D', 'C', 'D', 'E', 'A', 'C', 'E']
['E', 'A', 'C', 'A', 'B', 'E', 'D', 'C', 'D', None, 'A', 'A', 'A', 'E', 'C', 'D', 'A', 'A', 'A', 'E']
['E', 'E', 'A', 'E', 'E', 'E', 'A', 'A', 'E', 'E', 'E', None, 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['A', 'D', 'E', 'A', 'A', 'A', 'E', 'D', 'D', 'B', 'A', 'B', 'D', 'A', 'B', 'D', 'D', 'D', 'A', 'A']
['C', 'B', 'B', 'B', 'A', 'A', 'A', 'C', 'B', 'D', 'A', 'A', 'A', 'C', 'D', 'D', 'A', None, None, 'C']
['A', 'E', 'A', 'C', 'E', 'B', None, 'D', 'B', 'C', 'D', 'D', 'E', 'B', 'B', 'B', None, None, 'D', 'C']
['B', 'D', 'B', 'B', 'C', 'B', 'D', 'E', 'D', 'D', 'B', 'D', 'B', 'B', 'D', 'D', 'B', 'D', 'D', 'E']
['A', 'B', 'B', 'B', 'C', 'E', 'B', 'B', 'B', 'C', 'C', 'C', 'C', 'E', 'E', 'C', 'A', 'B', 'B', 'D']
['C', 'C', 'E', 'D', 'D', 'C', 'C', 'E', None, 'B', 'C', 'E', 'E', 'A', 'A', 'C', 'E', 'B', 'E', 'E']
[None, 'B', 'A', 'E', 'E', 'B', 'C', 'A', 'B', 'A', 'A', 'C', None, None, 'B', 'D', 'E', None, 'D', 'E']
['C', 'C', 'A', 'E', 'B', 'C', 'D', 'C', 'A', 'D', 'B', 'C', 'A', 'A', 'C', 'D', 'B', 'A', 'C', 'C']
['D', 'C', 'A', 'A', 'D', 'B', 'D', 'C', 'D', None, 'D', 'D', 'B', 'D', 'C', 'B', 'D', 'A', 'B', 'B']
['D', 'B', 'B', 'A', 'A', 'E', 'C', 'B', 'D', 'D', 'B', 'A', 'A', 'D', None, 'B', 'A', 'A', 'D', 'A']
['B', 'A', 'B', 'A', 'D', 'A', 'C', 'A', 'D', 'A', 'C', 'A', 'E', 'D', 'A', 'D', 'C', 'A', None, 'C']
['B', 'B', 'B', 'A', 'B', 'B', 'B', 'A', 'C', 'A', 'B', 'D', 'A', 'A', 'D', 'A', 'B', 'C', 'C', 'B']
['B', 'D', 'D', 'B', 'A', 'C', 'B', 'D', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'C', 'A', None, 'A', 'B']
['D', 'A', 'B', 'D', 'A', 'A', 'D', 'B', 'C', 'D', 'A', 'E', 'E', 'D', 'A', 'B', 'D', 'C', 'C', None]
['D', 'D', 'B', 'A', 'D', 'C', 'B', 'B', 'D', 'C', 'D', 'B', None, 'B', 'C', 'B', 'B', 'A', 'E', 'E']
['D', 'D', 'D', 'C', 'E', 'D', 'E', 'D', 'E', 'E', 'E', 'C', 'E', 'A', 'D', 'B', 'C', 'E', 'C', 'A']
['B', 'C', None, 'B', 'C', 'E', 'B', 'B', 'B', 'C', 'B', 'B', 'C', 'D', 'C', 'B', 'B', 'B', 'C', 'A']
['B', 'D', 'D', 'E', 'A', 'B', 'B', 'A', 'A', 'E', 'E', 'E', 'B', 'A', 'D', 'B', 'B', 'C', 'B', 'D']
['D', None, 'C', 'D', 'A', 'C', None, 'B', 'B', 'A', 'A', 'C', 'D', 'B', 'C', 'E', 'C', 'C', 'A', 'A']
['B', 'B', 'E', 'D', 'B', 'B', None, 'D', 'A', 'A', 'E', 'B', 'B', 'A', 'A', 'D', 'C', 'A', 'B', 'C']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', None, 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['D', 'C', 'A', 'B', 'C', 'C', 'C', 'C', 'D', 'A', 'B', None, 'D', 'C', None, None, 'C', 'A', 'A', 'D']
['B', 'B', 'A', 'C', 'A', 'B', 'A', 'D', 'B', 'A', 'A', 'C', 'A', 'B', 'A', 'C', 'A', 'B', 'B', 'A']
['B', 'D', 'B', 'A', None, 'B', 'B', 'C', 'A', 'A', 'B', 'B', None, 'B', 'A', 'A', 'D', 'C', 'B', 'D']
['E', 'C', None, 'B', 'D', 'D', 'B', 'C', 'A', 'D', None, 'A', 'D', 'D', 'B', 'A', 'E', 'D', 'A', 'A']
['D', 'D', 'A', 'B', 'C', 'E', None, 'B', 'B', 'B', 'B', 'B', 'C', 'A', 'B', 'C', 'C', 'A', None, 'D']
['B', 'D', 'D', 'C', 'E', 'D', 'D', 'A', 'D', 'B', 'B', None, 'A', 'B', 'E', 'D', 'B', 'D', 'C', 'B']
['A', 'A', 'C', 'B', 'B', 'D', 'B', 'A', 'D', 'B', 'A', 'A', 'A', 'D', 'B', 'B', 'B', 'A', 'A', 'C']
['C', 'C', 'B', 'B', 'C', 'E', 'A', 'B', 'E', 'D', 'B', 'C', 'A', 'D', 'B', 'A', 'B', 'C', 'C', 'E']
[None, 'E', 'B', 'B', 'A', 'C', 'B', 'D', 'A', 'A', None, 'E', 'A', 'A', 'B', 'A', 'C', 'C', 'B', 'D']
['D', 'C', 'C', 'A', 'B', 'A', 'C', 'C', 'B', 'A', 'E', 'A', 'C', None, 'C', 'E', 'C', 'A', 'C', 'D']
['A', 'E', 'E', 'E', 'E', 'E', 'E', 'E', None, 'A', 'E', 'E', 'E', 'A', 'A', 'E', 'E', 'E', 'E', 'E']
['C', 'B', 'A', 'C', 'B', 'E', 'A', 'E', 'B', 'B', 'E', 'A', 'C', 'A', 'B', 'B', 'C', 'C', 'B', 'B']
['C', 'A', 'A', None, 'A', 'C', 'A', 'C', None, 'A', 'C', 'B', 'A', 'A', 'A', 'C', None, 'B', 'C', 'A']
