['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['C', 'C', 'C', 'D', 'C', 'D', 'C', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'C', 'C', 'D', 'C', 'D', 'C']
['C', 'A', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['C', 'C', 'C', 'C', 'C', 'E', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'E', 'C', 'C']
['A', 'A', 'A', 'E', 'E', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['B', 'B', 'E', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'E', 'D', 'B', 'B', 'A']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'B']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B', 'D, B']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['C', 'C', 'B', 'C', 'C', 'B', 'B', 'C', 'C', 'C', 'C', 'B', 'C', 'C', 'B', 'C', 'C', 'C', 'B', 'B']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['B', 'B', 'C', 'C', 'C', 'B', 'C', 'B', 'B', 'B', 'C', 'C', 'B', 'B', 'C', 'B', 'C', 'B', 'B', 'B']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E', 'A, E']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'A', 'C', 'C', 'A']
['A', 'A', 'A', 'A',' A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C', 'A, C']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['B', 'A', 'A', 'B', 'A', 'A', 'B', 'B', 'B', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'B', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['A', 'A', 'A', 'A', 'A', ' A\n', 'A\n', ' D\n', ' A\n', ' C\n', ' D\n', ' A\n', ' B\n', ' E\n', ' E\n', ' C\n', ' C\n', ' C\n', ' E\n', ' D\n']
[' D\n', ' B\n', ' D\n', ' A\n', ' D\n', ' B\n', ' A\n', ' D\n', ' A\n', ' A\n', ' A\n', ' C\n', ' E\n', ' A\n', ' E\n', ' D\n', ' A\n', ' D\n', ' E\n', ' D\n']
[' A\n', ' E\n', ' D\n', ' A\n', ' C\n', ' D\n', ' E\n', ' E\n', ' D\n', ' D\n', ' E\n', ' E\n', ' A\n', ' A\n', ' A\n', ' C\n', ' E\n', ' A\n', ' B\n', ' C\n']
[' D\n', ' D\n', ' B\n', ' A\n', ' D\n', ' D\n', ' A\n', ' B\n', ' D\n', ' A\n', ' D\n', ' C\n', ' C\n', ' B\n', ' B\n', ' C\n', ' A\n', ' C\n', ' B\n', ' D\n']
[' B\n', ' C\n', ' A\n', ' A\n', ' B\n', ' C\n', ' E\n', ' A\n', ' E\n', ' B\n', ' C\n', ' D\n', ' A\n', ' A\n', ' E\n', ' C\n', ' B\n', ' E\n', ' D\n', ' B\n']
[' D\n', ' D\n', ' A\n', ' D\n', ' D\n', ' D\n', ' A\n', ' D\n', ' D\n', ' D\n', ' A\n', ' D\n', ' C\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' B\n', ' A\n']
[' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' C\n', ' D\n', ' E\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n']
[' C\n', ' C\n', ' C\n', ' C\n', ' C\n', ' A\n', ' D\n', ' C\n', ' C\n', ' C\n', ' D\n', ' C\n', ' A\n', ' C\n', ' C\n', ' C\n', ' C\n', ' C\n', ' C\n', ' C\n']
[' C\n', ' B\n', ' D\n', ' C\n', ' B\n', ' C\n', ' C\n', ' B\n', ' C\n', ' B\n', ' B\n', ' C\n', ' C\n', ' C\n', ' B\n', ' C\n', ' C\n', ' B\n', ' C\n', ' E\n']
[' D\n', ' B\n', ' B\n', ' A\n', ' A\n', ' E\n', ' D\n', ' A\n', ' C\n', ' C\n', ' E\n', ' E\n', ' D\n', ' A\n', ' E\n', ' A\n', ' C\n', ' A\n', ' C\n', ' E\n']
[' D\n', ' C\n', ' C\n', ' B\n', ' E\n', ' A\n', ' C\n', ' D\n', ' B\n', ' A\n', ' C\n', ' B\n', ' A\n', ' D\n', ' D\n', ' E\n', ' C\n', ' A\n', ' D\n', ' C\n']
[' B\n', ' E\n', ' B\n', ' D\n', ' B\n', ' D\n', ' B\n', ' A\n', ' C\n', ' E\n', ' B\n', ' B\n', ' A\n', ' B\n', ' B\n', ' B\n', ' D\n', ' C\n', ' B\n', ' E\n']
[' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' E\n', ' D\n', ' D\n', ' D\n', ' D\n', ' E\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n']
[' E\n', ' A\n', ' D\n', ' C\n', ' B\n', ' B\n', ' E\n', ' B\n', ' A\n', ' E\n', ' A\n', ' D\n', ' A\n', ' D\n', ' E\n', ' D\n', ' E\n', ' D\n', ' E\n', ' E\n']
[' E\n', ' A\n', ' C\n', ' D\n', ' A\n', ' A\n', ' A\n', ' B\n', ' E\n', ' D\n', ' C\n', ' D\n', ' A\n', ' D\n', ' A\n', ' E\n', ' E\n', ' C\n', ' E\n', ' B\n']
[' E\n', ' E\n', ' A\n', ' C\n', ' A\n', ' B\n', ' C\n', ' B\n', ' A\n', ' C\n', ' E\n', ' B\n', ' C\n', ' A\n', ' B\n', ' C\n', ' B\n', ' D\n', ' E\n', ' B\n']
[' B\n', ' E\n', ' D\n', ' A\n', ' D\n', ' A\n', ' A\n', ' B\n', ' C\n', ' C\n', ' E\n', ' B\n', ' D\n', ' B\n', ' B\n', ' D\n', ' B\n', ' C\n', ' E\n', ' B\n']
[' B\n', ' A\n', ' B\n', ' C\n', ' E\n', ' E\n', ' A\n', ' C\n', ' B\n', ' C\n', ' A\n', ' C\n', ' A\n', ' B\n', ' C\n', ' C\n', ' B\n', ' B\n', ' A\n', ' D\n']
[' B\n', ' A\n', ' C\n', ' E\n', ' D\n', ' D\n', ' A\n', ' B\n', ' C\n', ' B\n', ' B\n', ' A\n', ' B\n', ' E\n', ' E\n', ' A\n', ' B\n', ' A\n', ' C\n', ' D\n']
[' C\n', ' E\n', ' C\n', ' A\n', ' E\n', ' A\n', ' D\n', ' D\n', ' B\n', ' B\n', ' D\n', ' B\n', ' C\n', ' D\n', ' B\n', ' A\n', ' B\n', ' B\n', ' D\n', ' C\n']
[' D\n', ' D\n', ' D\n', ' B\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' C\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n']
[' A\n', ' B\n', ' B\n', ' A\n', ' A\n', ' A\n', ' D\n', ' B\n', ' A\n', ' A\n', ' D\n', ' A\n', ' A\n', ' B\n', ' B\n', ' D\n', ' A\n', ' B\n', ' D\n', ' B\n']
[' A\n', ' A\n', ' B\n', ' A\n', ' A\n', ' B\n', ' B\n', ' C\n', ' B\n', ' E\n', ' A\n', ' C\n', ' A\n', ' A\n', ' A\n', ' B\n', ' B\n', ' B\n', ' D\n', ' E\n']
[' B\n', ' E\n', ' E\n', ' D\n', ' E\n', ' D\n', ' E\n', ' C\n', ' E\n', ' E\n', ' D\n', ' D\n', ' C\n', ' E\n', ' C\n', ' C\n', ' C\n', ' A\n', ' D\n', ' C\n']
[' B\n', ' E\n', ' E\n', ' E\n', ' D\n', ' D\n', ' B\n', ' C\n', ' A\n', ' C\n', ' D\n', ' A\n', ' D\n', ' E\n', ' E\n', ' B\n', ' A\n', ' D\n', ' D\n', ' A\n']
[' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n']
[' A\n', ' B\n', ' A\n', ' C\n', ' C\n', ' C\n', ' C\n', ' B\n', ' C\n', ' A\n', ' C\n', ' B\n', ' E\n', ' C\n', ' C\n', ' C\n', ' C\n', ' C\n', ' C\n', ' C\n']
[' D\n', ' B\n', ' B\n', ' D\n', ' B\n', ' C\n', ' D\n', ' A\n', ' C\n', ' D\n', ' A\n', ' E\n', ' A\n', ' A\n', ' B\n', ' A\n', ' D\n', ' D\n', ' C\n', ' D\n']
[' D\n', ' D\n', ' B\n', ' D\n', ' E\n', ' A\n', ' D\n', ' D\n', ' B\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' A\n', ' D\n', ' E\n', ' D\n', ' A\n', ' D\n']
[' E\n', ' C\n', ' D\n', ' B\n', ' C\n', ' D\n', ' C\n', ' B\n', ' A\n', ' D\n', ' D\n', ' C\n', ' D\n', ' C\n', ' E\n', ' A\n', ' A\n', ' E\n', ' A\n', ' D\n']
[' A\n', ' D\n', ' A\n', ' D\n', ' A\n', ' D\n', ' B\n', ' D\n', ' E\n', ' C\n', ' B\n', ' A\n', ' A\n', ' A\n', ' D\n', ' D\n', ' C\n', ' D\n', ' D\n', ' D\n']
[' B\n', ' B\n', ' A\n', ' D\n', ' E\n', ' D\n', ' A\n', ' D\n', ' A\n', ' D\n', ' A\n', ' A\n', ' A\n', ' D\n', ' B\n', ' B\n', ' C\n', ' B\n', ' B\n', ' A\n']
[' D\n', ' B\n', ' A\n', ' A\n', ' A\n', ' A\n', ' B\n', ' D\n', ' B\n', ' C\n', ' B\n', ' D\n', ' C\n', ' B\n', ' B\n', ' D\n', ' B\n', ' A\n', ' B\n', ' B\n']
[' C\n', ' A\n', ' C\n', ' A\n', ' C\n', ' A\n', ' A\n', ' C\n', ' D\n', ' D\n', ' E\n', ' B\n', ' A\n', ' A\n', ' A\n', ' D\n', ' C\n', ' A\n', ' C\n', ' C\n']
[' D\n', ' B\n', ' D\n', ' B\n', ' D\n', ' B\n', ' C\n', ' B\n', ' C\n', ' B\n', ' B\n', ' B\n', ' D\n', ' B\n', ' A\n', ' D\n', ' B\n', ' D\n', ' D\n', ' C\n']
[' A\n', ' A\n', ' C\n', ' D\n', ' D\n', ' E\n', ' A\n', ' A\n', ' D\n', ' B\n', ' A\n', ' C\n', ' A\n', ' A\n', ' A\n', ' B\n', ' D\n', ' B\n', ' B\n', ' B\n']
[' D\n', ' A\n', ' D\n', ' C\n', ' A\n', ' D\n', ' E\n', ' C\n', ' D\n', ' D\n', ' B\n', ' B\n', ' D\n', ' D\n', ' A\n', ' 3\n', ' A\n', ' B\n', ' A\n', ' B\n']
[' D\n', ' E\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' C\n', ' D\n', ' D\n', ' D\n', ' D\n', ' B\n', ' D\n', ' C\n', ' B\n', ' D\n', ' D\n', ' D\n', ' D\n']
[' C\n', ' C\n', ' A\n', ' D\n', ' A\n', ' B\n', ' B\n', ' C\n', ' C\n', ' C\n', ' C\n', ' D\n', ' C\n', ' C\n', ' A\n', ' D\n', ' B\n', ' C\n', ' C\n', ' A\n']
[' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' D\n', ' D\n', ' E\n', ' E\n', ' E\n', ' D\n', ' A\n', ' E\n', ' E\n', ' E\n']
[' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n', ' D\n']
[' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n', ' B\n']
[' D\n', ' D\n', ' C\n', ' D\n', ' D\n', ' D\n', ' D\n', ' E\n', ' A\n', ' A\n', ' D\n', ' A\n', ' A\n', ' A\n', ' D\n', ' A\n', ' B\n', ' D\n', ' B\n', ' D\n']
[' E\n', ' A\n', ' C\n', ' A\n', ' E\n', ' E\n', ' A\n', ' E\n', ' C\n', ' D\n', ' C\n', ' E\n', ' E\n', ' E\n', ' C\n', ' D\n', ' C\n', ' D\n', ' D\n', ' C\n']
[' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n', ' C\n', ' E\n', ' E\n', ' E\n', ' E\n', ' E\n']
